jma_code,name,name_kana,pref,lat,lon,elevation,type,obs_start,matched_sources,amedastable_code,obsdl_stid,kansoku_bitmask
a0678,海見山,,広島,,,,,,obsdl_only,,a0678,100000
a0679,上下,ジョウゲ,広島,34.693333,133.116667,384,C,,amedastable+obsdl,67251,a0679,100000
a0680,内黒山,ウチグロヤマ,広島,34.596667,132.176667,987,C,,amedastable+obsdl,67271,a0680,100000
a0681,世羅,セラ,広島,34.583333,133.05,350,C,,amedastable+obsdl,67316,a0681,111201
a0682,恵下谷山,,広島,,,,,,obsdl_only,,a0682,100000
a0683,東広島,ヒガシヒロシマ,広島,34.416667,132.7,224,C,,amedastable+obsdl,67376,a0683,111201
s47767,福山,フクヤマ,広島,34.446667,133.246667,2,B,,amedastable+obsdl,67401,s47767,111111
s47765,広島,ヒロシマ,広島,34.398333,132.461667,4,A,,amedastable+obsdl,67437,s47765,111111
a0686,竹原,タケハラ,広島,34.33,132.981667,5,C,,amedastable+obsdl,67461,a0686,111201
a0687,生口島,イクチジマ,広島,34.278333,133.123333,3,C,,amedastable+obsdl,67471,a0687,111201
a0688,大竹,オオタケ,広島,34.221667,132.22,1,C,,amedastable+obsdl,67496,a0688,111201
s47766,呉,クレ,広島,34.24,132.55,4,B,,amedastable+obsdl,67511,s47766,111111
a0690,倉橋,クラハシ,広島,34.091667,132.488333,3,C,,amedastable+obsdl,67566,a0690,100000
a0947,高野,タカノ,広島,35.033333,132.901667,570,C,,amedastable+obsdl,67016,a0947,111211
a0948,東城,トウジョウ,広島,34.895,133.276667,310,C,,amedastable+obsdl,67126,a0948,100000
a0949,甲田,コウダ,広島,34.695,132.76,185,C,,amedastable+obsdl,67231,a0949,100000
a0950,三入,ミイリ,広島,34.545,132.53,70,C,,amedastable+obsdl,67292,a0950,111201
a0951,府中,フチュウ,広島,35.683333,139.483333,59,C,,amedastable+obsdl,44116,a0951,111201
a0952,河内,,広島,,,,,,obsdl_only,,a0952,100000
a0953,久比,,広島,,,,,,obsdl_only,,a0953,111100
a1163,志和,シワ,広島,34.498333,132.66,215,C,,amedastable+obsdl,67371,a1163,100000
a1257,王泊,オオドマリ,広島,34.698333,132.311667,525,C,,amedastable+obsdl,67211,a1257,100000
a1262,八幡,ハチマン,広島,35.756667,136.978333,271,C,,amedastable+obsdl,52331,a1262,100010
a1325,油木,ユキ,広島,34.763333,133.278333,510,C,,amedastable+obsdl,67191,a1325,111201
a1326,廿日市津田,ハツカイチツタ,広島,34.365,132.19,317,C,,amedastable+obsdl,67421,a1326,111201
a1472,本郷,ホンゴウ：広島空港,広島,34.435,132.918333,331,C,,amedastable+obsdl,67386,a1472,111000
a1575,佐伯湯来,サエキユキ,広島,34.498333,132.29,206,C,,amedastable+obsdl,67351,a1575,100000
a1579,都志見,ツシミ,広島,34.646667,132.443333,400,C,,amedastable+obsdl,67217,a1579,100000
a1582,君田,キミタ,広島,34.928333,132.83,304,C,,amedastable+obsdl,67052,a1582,100000
a1583,美土里,ミドリ,広島,34.721667,132.655,318,C,,amedastable+obsdl,67161,a1583,100000
a1603,安宿,アスカ,広島,34.566667,132.838333,363,C,,amedastable+obsdl,67306,a1603,100000
a1606,呉市蒲刈,クレシカマガリ,広島,34.165,132.748333,48,C,,amedastable+obsdl,67576,a1606,111201
s47740,西郷,サイゴウ,島根,36.203333,133.333333,27,B,,amedastable+obsdl,68022,s47740,111111
a0692,西ノ島,,島根,,,,,,obsdl_only,,a0692,100000
a0693,鹿島,カシマ,島根,43.08,142.1,310,C,,amedastable+obsdl,15451,a0693,111201
a0694,斐川,ヒカワ：出雲空港,島根,35.413333,132.89,2,C,,amedastable+obsdl,68121,a0694,111010
s47741,松江,マツエ,島根,35.456667,133.065,17,A,,amedastable+obsdl,68132,s47741,111111
a0696,大東,ダイトウ,島根,39.038333,141.296667,140,C,,amedastable+obsdl,33856,a0696,100000
a0697,大田,オオダ,島根,35.19,132.496667,30,C,,amedastable+obsdl,68246,a0697,111201
a0698,掛合,カケヤ,島根,35.196667,132.815,215,C,,amedastable+obsdl,68261,a0698,111201
a0699,横田,ヨコタ,島根,35.173333,133.103333,369,C,,amedastable+obsdl,68276,a0699,111211
a0700,吾妻山,,島根,,,,,,obsdl_only,,a0700,100000
